feature,range_across_clusters
day,15.508129799292952
hour,9.757369464506377
time_of_day_morning,0.7247414478918058
time_of_day_evening,0.5072981700753498
is_peak,0.17098154318593056
time_of_day_afternoon,0.1486889534247152
time_of_day_night,0.06875432439174087
driver_ratings,0.04084016421770209
dow,0.031131616825735176
month,0.01906956427789641
customer_rating,0.011479504410853908
vehicle_type_Auto,0.008021620162852017
avg_vtat,0.007565834187965238
is_weekend,0.007560866131116173
ride_distance,0.007279932584956891
avg_ctat,0.006880713176406275
booking_value,0.005435269068424425
day_name_Tuesday,0.004964028381242769
day_name_Saturday,0.004635135662409001
day_name_Monday,0.004058412071748091
day_name_Wednesday,0.0038116000490029667
payment_method_UPI,0.003771455305702276
vehicle_type_Bike,0.0037509328748987214
day_name_Sunday,0.003746778608657547
day_name_Thursday,0.003696805926661967
vehicle_type_Go Mini,0.003510953943318823
booking_status_No Driver Found,0.0029177867971345722
driver_cancellation_reason_Customer related issue,0.0024549663205440594
cancelled_rides_by_customer,0.0023331847533386713
booking_status_Cancelled by Customer,0.0023331847533386713
